AV280  ACRILICO
AE192  ACROBACIA BASICA
TH594  ACTORES E INTERRELACIONES EN LA PRODUCCION DEL HABITAT
AE114  ACTUACION COMPLEMENTARIA (CANTANTES Y BAILARINES)
AE176  ACTUACION ESCENICA PARA LA OPERA
TC522  ACTUALIZACION TECNOLOGICA
AV231  ACUARELA
TC108  ACUSTICA
PD507  ADMINISTRACION CONTABLE
A0015  ADMINISTRACION DE LOS PROCESOS CULTURALES
PD109  ADMINISTRACION DE OBRA I
PD110  ADMINISTRACION DE OBRA II
PD111  ADMINISTRACION ESCENICA I
PD112  ADMINISTRACION ESCENICA II
PD113  ADMINISTRACION ESCENICA III
TH216  ADMINISTRACION ESCOLAR
PD512  ADMINISTRACION FINANCIERA
AD119  ADMINISTRACION I
PD511  ADMINISTRACION PARA LA TOMA DE DECISIONES
TC190  ADMINISTRACION TECNICA DE OBRA
RE127  AEROGRAFO
TH136  ALEMAN I
TH137  ALEMAN II
TH138  ALEMAN III
TH517  ANALISIS
TH283  ANALISIS CINE
TH172  ANALISIS CURRICULAR I
TH173  ANALISIS CURRICULAR II
TH615  ANALISIS DE DOCUMENTOS HISTORICOS
TH756  ANALISIS DE DOCUMENTOS HISTORICOS
DI107  ANALISIS DE FACTIBILIDAD
DI511  ANALISIS DE FUTUROS
P0513  ANALISIS DE FUTUROS
DI103  ANALISIS DE LA DEMANDA
TH577  ANALISIS DE LA FORMA ARQUITECTONICA Y URBANA
TH520  ANALISIS DE LA HISTORIETA
DI502  ANALISIS DE LA INFORMACION DE MERCADOTECNIA
TH611  ANALISIS DE LA MUSICA EN EL CINE
TH522  ANALISIS DE LA PUBLICIDAD
TH118  ANALISIS DE LA REALIDAD NACIONAL
MU100  ANALISIS DE LAS FORMAS I
MU101  ANALISIS DE LAS FORMAS II
PU225  ANALISIS DE LOS SISTEMAS DE TRANSPORTE
TC524  ANALISIS DE MATERIALES DE CONSTRUCCION
IS524  ANALISIS DE PELICULAS
PU215  ANALISIS DE POLITICAS TERRITORIALES AMBIENTALES
TH198  ANALISIS DE TEXTOS DRAMATICOS I
TH199  ANALISIS DE TEXTOS DRAMATICOS II
TH200  ANALISIS DE TEXTOS DRAMATICOS III
TH203  ANALISIS DEL DRAMA I
TH204  ANALISIS DEL DRAMA II
TH205  ANALISIS DEL DRAMA III
TH206  ANALISIS DEL DRAMA IV
DI505  ANALISIS DEL USO DE LOS OBJETOS
P0514  ANALISIS DEL USO DE LOS OBJETOS
IS525  ANALISIS DRAMATURGICOS
PU509  ANALISIS GRAFICO DE LA ARQUITECTURA
TH659  ANALISIS URBANO
TH588  ANALISIS URBANO Y REGIONAL
AV109  ANATOMIA PLASTICA I
AV110  ANATOMIA PLASTICA II
PR135  ANIMACION I
PR136  ANIMACION II
AV503  ANTROPOLOGIA DEL CINE
IS530  ANTROPOLOGIA DEL CINE
TH708  ANTROPOLOGIA URBANA
TH748  ANTROPOLOGIA Y ETNOGRAFIA CULTURAL
IS523  APRECIACION CINEMATOGRAFICA
TH738  APRECIACION CINEMATOGRAFICA
TH743  APRECIACION DE LA ARQUITECTURA
TH742  APRECIACION DE LA DANZA
TH744  APRECIACION DE LA FOTOGRAFIA
TH745  APRECIACION DE LAS ARTES PLASTICAS
TH739  APRECIACION DEL TEATRO
TH741  APRECIACION LITERARIA
MU255  APRECIACION MUSICAL
MU501  APRECIACION MUSICAL
TH740  APRECIACION MUSICAL
MU190  APRECIACION MUSICAL I
MU191  APRECIACION MUSICAL II
MU192  APRECIACION MUSICAL III
MU193  APRECIACION MUSICAL IV
AEP02  APRENDIZAJE Y DIVERSIDAD
TH666  APROPIACION DEL ESPACIO
TC512  ARCHIVO Y FICHAS
MU162  ARMONIA I
MU163  ARMONIA II
MU164  ARMONIA III
MU165  ARMONIA IV
TH563  ARQUEOLOGIA
TH245  ARQUITECTURA DE GUADALAJARA
TH246  ARQUITECTURA DE JALISCO
PD514  ARQUITECTURA LEGAL
TH152  ARQUITECTURA MEXICANA I
TH153  ARQUITECTURA MEXICANA II
TH562  ARQUITECTURA VERNACULA
TH505  ARTE CINEMATOGRAFICO EN MEXICO
PU228  ARTE E IMAGEN URBANA
TH651  ARTE MEDIEVAL
TH514  ARTE MEXICANO
TH733  ARTE PRECOLOMBINO
TH533  ARTE URBANO
TH734  ARTE Y CULTURA EN MEXICO COLONIAL
TH725  ARTE Y CULTURA GRIEGA Y ROMANA
TH732  ARTE Y CULTURA LATINOAMERICANOS
TH735  ARTE Y CULTURA MEXICANOS EN EL SIGLO XIX
TH736  ARTE Y CULTURA MEXICANOS EN EL SIGLO XX
PD126  ARTES Y TEXTILES
TH210  ARTESANIAS MEXICANAS
PD149  ASESORIA Y CONSULTORIA DE EMPRESAS
TH589  ASPECTOS SOCIOLOGICOS DEL URBANISMO Y LA PLANEACION
PR122  AUTOEDICION I
PR123  AUTOEDICION II
PR124  AUTOEDICION III
TH634  AUTOGESTION EN LA ARQUITECTURA
TH617  BARROCO
AV226  BATIK
TH244  BIBLIOTECOLOGIA
GO118  BIOGEOGRAFIA
RE140  CAD APLICADO A LA ARQUITECTURA I
RE141  CAD APLICADO A LA ARQUITECTURA II
PR120  CAD I
PR121  CAD II
TC105  CALCULO DIFERENCIAL E INTEGRAL
TC510  CALIDAD TOTAL
AV237  CAMARA I
AV238  CAMARA II
AV239  CAMARA III
AV240  CAMARA IV
AV241  CAMARA V
AV242  CAMARA VI
PU223  CAMBIOS TECNOLOGICOS Y EFECTOS TERRITORIALES
MU170  CANTO COMPLEMENTARIO I
MU171  CANTO COMPLEMENTARIO II
MU172  CANTO COMPLEMENTARIO III
MU173  CANTO COMPLEMENTARIO IV
MU174  CANTO COMPLEMENTARIO V
MU175  CANTO COMPLEMENTARIO VI
MU176  CANTO COMPLEMENTARIO VII
MU177  CANTO COMPLEMENTARIO VIII
MU150  CANTO GREGORIANO I
MU151  CANTO GREGORIANO II
MU210  CANTO I
MU290  CANTO I
MU211  CANTO II
MU291  CANTO II
MU212  CANTO III
MU292  CANTO III
MU213  CANTO IV
MU293  CANTO IV
MU214  CANTO V
MU294  CANTO V
MU215  CANTO VI
MU296  CANTO VI
MU216  CANTO VII
MU297  CANTO VII
MU217  CANTO VIII
MU298  CANTO VIII
PR111  CARICATURA
TC125  CARPINTERIA
TC137  CARPINTERIA Y HERRERIA
GO107  CARTOGRAFIA I
TC519  CATALOGO DE OBRAS
MU515  CATEGORIAS NATIVAS Y ESTRUCTURA DEL CANTO Y LA DANZA EN LA AMERICA INDIGENA
AV223  CERAMICA BASICA I
AV224  CERAMICA BASICA II
AV205  CERAMICA I
AV206  CERAMICA II
TH633  CIENCIAS DEL MEDIO
IS519  CINE DOCUMENTAL
IS526  CINE Y GENERO
PU513  CIUDAD HISTORIA Y MODERNIDAD EN AMERICA LATINA
