ID221  ABASTECIMIENTOS E INVENTARIOS
I8847  ABORDAJE PSICOLOGICO DEL PROCESO ALIMENTARIO NUTRICIO
C0326  ACCESO Y USO DE LA INFORMACION CIENTIFICA
D1060  ACCIONES DE INCONSTITUCIONALIDAD Y CONTROVERSIAS CONSTITUCIONALES
P0378  ACTIVIDADES DE INVESTIGACION Y PRESENTACION DE AVANCES
B0060  ACTIVIDADES DE INVESTIGACION Y PRESENTACION DE AVANCES
P0379  ACTIVIDADES DE INVESTIGACION Y PRESENTACION DE AVANCES (2 MINIMO)
I2225  ACTIVIDADES DE INVESTIGACION Y PRESENTACION DE AVANCES I
I2226  ACTIVIDADES DE INVESTIGACION Y PRESENTACION DE AVANCES II
I8822  ACTIVIDADES FISICAS Y DEPORTIVAS
I8638  ACTUALIDADES EN SALUD
I8946  ACTUALIDADES EN SALUD
CT122  ACTUALIZACION FISCAL PERMANENTE
EC122  ACUICULTURA
I6057  ADIESTRAMIENTO CLINICO DE ODONTOPEDIATRIA I
I6066  ADIESTRAMIENTO CLINICO DE ODONTOPEDIATRIA II
I6074  ADIESTRAMIENTO CLINICO DE ODONTOPEDIATRIA III
I6082  ADIESTRAMIENTO CLINICO DE ODONTOPEDIATRIA IV
I6067  ADIESTRAMIENTO CLINICO DE ORTODONCIA INTERCEPTIVA Y ORTOPEDIA MAXILAR II
I6075  ADIESTRAMIENTO CLINICO DE ORTODONCIA INTERCEPTIVA Y ORTOPEDIA MAXILAR III
I6083  ADIESTRAMIENTO CLINICO DE ORTODONCIA INTERCEPTIVA Y ORTOPEDIA MAXILAR IV
I5375  ADIESTRAMIENTO CLINICO EN ENDODONCIA I
I5376  ADIESTRAMIENTO CLINICO EN ENDODONCIA II
I5377  ADIESTRAMIENTO CLINICO EN ENDODONCIA III
I6059  ADIESTRAMIENTO CLINICO HOSPITALARIO EN ODONTOPEDIATRIA I
I6068  ADIESTRAMIENTO CLINICO HOSPITALARIO EN ODONTOPEDIATRIA II
I6076  ADIESTRAMIENTO CLINICO HOSPITALARIO EN ODONTOPEDIATRIA III
I6084  ADIESTRAMIENTO CLINICO HOSPITALARIO EN ODONTOPEDIATRIA IV
I9423  ADMINISTRACION
ID204  ADMINISTRACION
AD100  ADMINISTRACION AGRICOLA
AD101  ADMINISTRACION CONTEMPORANEA, FILOSOFIA Y PRACTICA
CC313  ADMINISTRACION DE BASES DE DATOS
AD144  ADMINISTRACION DE CASINOS Y CASAS DE JUEGOS
SI100  ADMINISTRACION DE CENTROS DE COMPUTO
AD102  ADMINISTRACION DE CENTROS EDUCATIVOS
MN100  ADMINISTRACION DE COMERCIALIZADORAS INTERNACIONALES
AD103  ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES
AD104  ADMINISTRACION DE EMPRESAS CONSTRUCTORAS
AD105  ADMINISTRACION DE EMPRESAS GANADERAS
I9487  ADMINISTRACION DE EMPRESAS PECUARIAS
PS109  ADMINISTRACION DE EMPRESAS PECUARIAS
PS110  ADMINISTRACION DE EXPLOTACIONES AGRICOLAS
PS111  ADMINISTRACION DE EXPLOTACIONES AVICOLAS
PS112  ADMINISTRACION DE EXPLOTACIONES DE BOVINOS
PS113  ADMINISTRACION DE EXPLOTACIONES DE LA FAUNA SILVESTRE
PS115  ADMINISTRACION DE EXPLOTACIONES PORCICOLAS
AD106  ADMINISTRACION DE GRANJAS AVICOLAS
AG153  ADMINISTRACION DE GRANJAS I
AG155  ADMINISTRACION DE GRANJAS II
AD107  ADMINISTRACION DE GRANJAS PORCINAS
AD108  ADMINISTRACION DE HOSPITALES
CS148  ADMINISTRACION DE HOSPITALES
D1092  ADMINISTRACION DE JUSTICIA Y RESPONSABILIDAD INTERNACIONAL
DP501  ADMINISTRACION DE JUSTICIA Y SEGURIDAD PUBLICA I
DP502  ADMINISTRACION DE JUSTICIA Y SEGURIDAD PUBLICA II
ID408  ADMINISTRACION DE LA CALIDAD
I8560  ADMINISTRACION DE LA CALIDAD EN LOS SERVICIOS DE SALUD
MN101  ADMINISTRACION DE LA FUERZA DE VENTAS
MN579  ADMINISTRACION DE LA FUERZA DE VENTAS (N)
AD109  ADMINISTRACION DE LA MICRO Y PEQUEÑA EMPRESA
