P0090  ACTIVIDADES DE INVESTIGACION I
P0094  ACTIVIDADES DE INVESTIGACION II
P0097  ACTIVIDADES DE INVESTIGACION III
CT122  ACTUALIZACION FISCAL PERMANENTE
AD147  ADMINISTRACION
AD100  ADMINISTRACION AGRICOLA
MN572  ADMINISTRACION AMBIENTAL
RH148  ADMINISTRACION BASICA DE RECURSOS HUMANOS
AD538  ADMINISTRACION COMPARADA
AD101  ADMINISTRACION CONTEMPORANEA, FILOSOFIA Y PRACTICA
AD144  ADMINISTRACION DE CASINOS Y CASAS DE JUEGOS
SI100  ADMINISTRACION DE CENTROS DE COMPUTO
AD102  ADMINISTRACION DE CENTROS EDUCATIVOS
MN100  ADMINISTRACION DE COMERCIALIZADORAS INTERNACIONALES
TR100  ADMINISTRACION DE CONGRESOS, CONVENCIONES Y EXPOSICIONES
AD539  ADMINISTRACION DE EMPRESAS
AD103  ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES
AD104  ADMINISTRACION DE EMPRESAS CONSTRUCTORAS
AD105  ADMINISTRACION DE EMPRESAS GANADERAS
AD106  ADMINISTRACION DE GRANJAS AVICOLAS
AD107  ADMINISTRACION DE GRANJAS PORCINAS
AD108  ADMINISTRACION DE HOSPITALES
AD146  ADMINISTRACION DE INSTITUCIONES BANCARIAS
MN101  ADMINISTRACION DE LA FUERZA DE VENTAS
MN542  ADMINISTRACION DE LA FUERZA DE VENTAS
MN579  ADMINISTRACION DE LA FUERZA DE VENTAS (N)
AD109  ADMINISTRACION DE LA MICRO Y PEQUE~A EMPRESA
RH140  ADMINISTRACION DE LA NEGOCIACION COLECTIVA
AD111  ADMINISTRACION DE LA PRODUCCION Y LA TECNOLOGIA
RH141  ADMINISTRACION DE LA SEGURIDAD SOCIAL
RH100  ADMINISTRACION DE LAS COMPENSACIONES
RH101  ADMINISTRACION DE LOS RECURSOS HUMANOS EN LA ADMINISTRACION PUBLICA
P0027  ADMINISTRACION DE MERCADOTECNIA
MN102  ADMINISTRACION DE NEGOCIOS INTERNACIONALES
AD112  ADMINISTRACION DE OPERACIONES
P0028  ADMINISTRACION DE OPERACIONES
MC522  ADMINISTRACION DE OPERACIONES
AD113  ADMINISTRACION DE ORGANIZACIONES NO GUBERNAMENTALES
P0026  ADMINISTRACION DE RECURSOS HUMANOS
RH102  ADMINISTRACION DE RECURSOS HUMANOS
RH509  ADMINISTRACION DE RECURSOS HUMANOS
SI511  ADMINISTRACION DE REDES DE TELECOMUNICACIONES
FN132  ADMINISTRACION DE RIESGOS
AD114  ADMINISTRACION DE SERVICIOS MUNICIPALES
AD115  ADMINISTRACION DE SOCIEDADES COOPERATIVAS
TR101  ADMINISTRACION DE TIEMPOS COMPARTIDOS
