ID221  ABASTECIMIENTOS E INVENTARIOS
I8847  ABORDAJE PSICOLOGICO DEL PROCESO ALIMENTARIO NUTRICIO
D1060  ACCIONES DE INCONSTITUCIONALIDAD Y CONTROVERSIAS CONSTITUCIONALES
HAC01  ACTIVIDADES CIENTIFICAS NO LECTIVAS
I8638  ACTUALIDADES EN SALUD
CT122  ACTUALIZACION FISCAL PERMANENTE
ID204  ADMINISTRACION
I7370  ADMINISTRACION
AD100  ADMINISTRACION AGRICOLA
AD101  ADMINISTRACION CONTEMPORANEA
CC313  ADMINISTRACION DE BASES DE DATOS
I5902  ADMINISTRACION DE BASES DE DATOS
AD144  ADMINISTRACION DE CASINOS Y CASAS DE JUEGOS
SI100  ADMINISTRACION DE CENTROS DE COMPUTO
AD102  ADMINISTRACION DE CENTROS EDUCATIVOS
MN100  ADMINISTRACION DE COMERCIALIZADORAS INTERNACIONALES
AD103  ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES
B0029  ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES
I2058  ADMINISTRACION DE EMPRESAS AGROPECUARIAS
AD104  ADMINISTRACION DE EMPRESAS CONSTRUCTORAS
AD105  ADMINISTRACION DE EMPRESAS GANADERAS
AD106  ADMINISTRACION DE GRANJAS AVICOLAS
AD107  ADMINISTRACION DE GRANJAS PORCINAS
AD108  ADMINISTRACION DE HOSPITALES
D1092  ADMINISTRACION DE JUSTICIA Y RESPONSABILIDAD INTERNACIONAL
DP501  ADMINISTRACION DE JUSTICIA Y SEGURIDAD PUBLICA I
DP502  ADMINISTRACION DE JUSTICIA Y SEGURIDAD PUBLICA II
ID408  ADMINISTRACION DE LA CALIDAD
MN101  ADMINISTRACION DE LA FUERZA DE VENTAS
MN579  ADMINISTRACION DE LA FUERZA DE VENTAS (N)
AD109  ADMINISTRACION DE LA MICRO Y PEQUEÑA EMPRESA
RH140  ADMINISTRACION DE LA NEGOCIACION COLECTIVA
AD111  ADMINISTRACION DE LA PRODUCCION Y LA TECNOLOGIA
I5110  ADMINISTRACION DE LA PRODUCCION Y LA TECNOLOGIA
RH141  ADMINISTRACION DE LA SEGURIDAD SOCIAL
I6658  ADMINISTRACION DE LA TECNOLOGIA I
I2193  ADMINISTRACION DE LA TECNOLOGIA II
I6659  ADMINISTRACION DE LA TECNOLOGIA II
RH100  ADMINISTRACION DE LAS COMPENSACIONES
I5657  ADMINISTRACION DE LAS COMPENSACIONES
RH101  ADMINISTRACION DE LOS RECURSOS HUMANOS EN LA ADMINISTRACION PUBLICA
P0605  ADMINISTRACION DE LOS RECURSOS PARA LA SALUD
P0604  ADMINISTRACION DE LOS SERVICIOS DE SALUD
P0027  ADMINISTRACION DE MERCADOTECNIA
MN102  ADMINISTRACION DE NEGOCIOS INTERNACIONALES
AD112  ADMINISTRACION DE OPERACIONES
P0028  ADMINISTRACION DE OPERACIONES
MC522  ADMINISTRACION DE OPERACIONES
D0843  ADMINISTRACION DE OPERACIONES
AD113  ADMINISTRACION DE ORGANIZACIONES NO GUBERNAMENTALES
I7357  ADMINISTRACION DE PERSONAL
IP507  ADMINISTRACION DE PROYECTOS
I2189  ADMINISTRACION DE PROYECTOS
I6655  ADMINISTRACION DE PROYECTOS
D1504  ADMINISTRACION DE PROYECTOS DE SOFTWARE
I5111  ADMINISTRACION DE PYMES
P0026  ADMINISTRACION DE RECURSOS HUMANOS
ID202  ADMINISTRACION DE RECURSOS HUMANOS
I5810  ADMINISTRACION DE RECURSOS HUMANOS
RH102  ADMINISTRACION DE RECURSOS HUMANOS
RH509  ADMINISTRACION DE RECURSOS HUMANOS
I5091  ADMINISTRACION DE RECURSOS HUMANOS
I5907  ADMINISTRACION DE REDES
CO102  ADMINISTRACION DE REDES DE COMPUTO
AD114  ADMINISTRACION DE SERVICIOS MUNICIPALES
I5908  ADMINISTRACION DE SERVIDORES
AD115  ADMINISTRACION DE SOCIEDADES COOPERATIVAS
I2192  ADMINISTRACION DE TECNOLOGIA I
FN100  ADMINISTRACION DEL CAPITAL Y FUENTES DE FINANCIAMIENTO
ID403  ADMINISTRACION DEL MANTENIMIENTO INDUSTRIAL
AD116  ADMINISTRACION ESTATAL Y MUNICIPAL
AD117  ADMINISTRACION ESTRATEGICA
P0036  ADMINISTRACION ESTRATEGICA
I5139  ADMINISTRACION ESTRATEGICA
MN103  ADMINISTRACION ESTRATEGICA DE LOS MERCADOS
P0025  ADMINISTRACION FINANCIERA
FN101  ADMINISTRACION FINANCIERA
FN502  ADMINISTRACION FINANCIERA
I5099  ADMINISTRACION FINANCIERA
AD118  ADMINISTRACION HOTELERA
AD119  ADMINISTRACION I
I0942  ADMINISTRACION I
AD120  ADMINISTRACION II
I5082  ADMINISTRACION II
RH104  ADMINISTRACION III (ADMINISTRACION DE RECURSOS HUMANOS)
RH105  ADMINISTRACION IV (HABILIDADES DIRECTIVAS)
I5112  ADMINISTRACION PARA LA TOMA DE DECISIONES
AD122  ADMINISTRACION PUBLICA
D1028  ADMINISTRACION PUBLICA
AD123  ADMINISTRACION PUBLICA COMPARADA
D1068  ADMINISTRACION PUBLICA DEL AMBIENTE
AD124  ADMINISTRACION SILVICOLA
D1513  ADMINISTRACION Y CONFIGURACION DE SERVIDORES
AD139  ADMINISTRACION Y GESTION AMBIENTAL
I2211  AGENTES PATOGENOS TRANSMITIDOS POR ALIMENTOS
CT123  AGRICOLAS
B0027  AGRICULTURA ORGANICA
I2055  AGRICULTURA ORGANICA
I2096  AGROCLIMATOLOGIA
B0007  AGROECOLOGIA
I2043  AGROECOLOGIA
CT124  AGROPECUARIAS
B0053  AGROPLASTICOS
B0042  AGROQUIMICOS
I2069  AGROQUIMICOS
I2230  ALGEBRA ABSTRACTA
I6687  ALGEBRA ABSTRACTA
I5802  ALGEBRA LINEAL
I2126  ALGEBRA LINEAL AVANZADA I
I6577  ALGEBRA LINEAL AVANZADA I
I2227  ALGEBRA LINEAL AVANZADA II
I6684  ALGEBRA LINEAL AVANZADA II
MT120  ALGEBRA LINEAL I
MT220  ALGEBRA LINEAL II
MT302  ALGEBRA MULTILINEAL
I5884  ALGORITMIA
I5873  ALGORITMOS Y PROGRAMAS
CT125  ALIANZAS
I8862  ALIMENTACION Y NUTRICION APLICADA A POBLACIONES
I8879  ALIMENTACION Y NUTRICION EN EL ADULTO MAYOR
I8829  ALIMENTACION Y SALUD PUBLICA
I5906  ALMACENES DE DATOS (DATA WAREHOUSE)
NC106  ALTERACIONES NEURALES Y ACTIVIDAD PSIQUICA
CJ537  AMBIENTE LEGAL DE LAS ORGANIZACIONES
RH128  AMBIENTE Y DESARROLLO
DP106  AMPARO
DS108  AMPARO AGRARIO
D1127  AMPARO EN MATERIA ADMINISTRATIVA
D1128  AMPARO EN MATERIA AGRARIA
D1126  AMPARO EN MATERIA CIVIL
D1125  AMPARO EN MATERIA PENAL
D1032  AMPARO I
D1033  AMPARO II
D1065  AMPARO LABORAL
I6133  ANALISIS BROMATOLOGICOS
QM301  ANALISIS BROMATOLOGICOS
ID203  ANALISIS CONTABLE
I6487  ANALISIS CONTABLE
I5328  ANALISIS CONTABLE DE CONCEPTOS ESPECIFICOS
DD502  ANALISIS CUALITATIVO
AM504  ANALISIS CURRICULAR Y SUJETOS SOCIALES
I7385  ANALISIS DE DECISIONES
I2091  ANALISIS DE DISTRIBUCION DE BIOFABRICAS
I6153  ANALISIS DE FARMACOS Y MEDICAMENTOS
D0659  ANALISIS DE FUENTES DE FINANCIAMIENTO
I8437  ANALISIS DE LAS PRACTICAS DEL EJERCICIO PERIODISTICO
I5838  ANALISIS DE REACTORES QUIMICOS
SI101  ANALISIS DE SISTEMAS
EK111  ANALISIS DE TEXTO PERIODISTICO
D0646  ANALISIS DE VALORES Y RIESGOS DE LOS RECURSOS DEL GRUPO DE INTERES
I5339  ANALISIS DEL CAPITAL CONTABLE
I8446  ANALISIS DEL DISCURSO PERIODISTICO
EK117  ANALISIS DEL TEXTO AUDIOVISUAL
I8853  ANALISIS E INTERPRETACION DE DATOS DE INVESTIGACION EN NUTRICION
D0668  ANALISIS E INTERPRETACION DE ESTADOS FINANCIEROS
