AV280  ACRILICO
AE192  ACROBACIA BASICA
CT122  ACTUALIZACION FISCAL PERMANENTE
AV231  ACUARELA
TC108  ACUSTICA
ID204  ADMINISTRACION
AD100  ADMINISTRACION AGRICOLA
AD101  ADMINISTRACION CONTEMPORANEA, FILOSOFIA Y PRACTICA
AD144  ADMINISTRACION DE CASINOS Y CASAS DE JUEGOS
SI100  ADMINISTRACION DE CENTROS DE COMPUTO
AD102  ADMINISTRACION DE CENTROS EDUCATIVOS
MN100  ADMINISTRACION DE COMERCIALIZADORAS INTERNACIONALES
TR100  ADMINISTRACION DE CONGRESOS, CONVENCIONES Y EXPOSICIONES
AD103  ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES
AD104  ADMINISTRACION DE EMPRESAS CONSTRUCTORAS
AD105  ADMINISTRACION DE EMPRESAS GANADERAS
AD106  ADMINISTRACION DE GRANJAS AVICOLAS
AD107  ADMINISTRACION DE GRANJAS PORCINAS
AD108  ADMINISTRACION DE HOSPITALES
DP501  ADMINISTRACION DE JUSTICIA Y SEGURIDAD PUBLICA I
DP502  ADMINISTRACION DE JUSTICIA Y SEGURIDAD PUBLICA II
MN101  ADMINISTRACION DE LA FUERZA DE VENTAS
MN579  ADMINISTRACION DE LA FUERZA DE VENTAS (N)
AD109  ADMINISTRACION DE LA MICRO Y PEQUE~A EMPRESA
RH140  ADMINISTRACION DE LA NEGOCIACION COLECTIVA
AD111  ADMINISTRACION DE LA PRODUCCION Y LA TECNOLOGIA
RH141  ADMINISTRACION DE LA SEGURIDAD SOCIAL
RH100  ADMINISTRACION DE LAS COMPENSACIONES
P0027  ADMINISTRACION DE MERCADOTECNIA
PD109  ADMINISTRACION DE OBRA I
PD110  ADMINISTRACION DE OBRA II
AD112  ADMINISTRACION DE OPERACIONES
P0028  ADMINISTRACION DE OPERACIONES
MC522  ADMINISTRACION DE OPERACIONES
AD113  ADMINISTRACION DE ORGANIZACIONES NO GUBERNAMENTALES
P0026  ADMINISTRACION DE RECURSOS HUMANOS
RH102  ADMINISTRACION DE RECURSOS HUMANOS
RH509  ADMINISTRACION DE RECURSOS HUMANOS
AD114  ADMINISTRACION DE SERVICIOS MUNICIPALES
IF194  ADMINISTRACION DE SERVIDORES
IF189  ADMINISTRACION DE SITIOS Y APLICACIONES MULTIMEDIA PARA INTERNET
AD115  ADMINISTRACION DE SOCIEDADES COOPERATIVAS
TR101  ADMINISTRACION DE TIEMPOS COMPARTIDOS
FN100  ADMINISTRACION DEL CAPITAL Y FUENTES DE FINANCIAMIENTO
AD116  ADMINISTRACION ESTATAL Y MUNICIPAL
AD117  ADMINISTRACION ESTRATEGICA
P0036  ADMINISTRACION ESTRATEGICA
P0025  ADMINISTRACION FINANCIERA
FN101  ADMINISTRACION FINANCIERA
FN502  ADMINISTRACION FINANCIERA
CS100  ADMINISTRACION GENERAL
AD118  ADMINISTRACION HOTELERA
AD119  ADMINISTRACION I
CA100  ADMINISTRACION I
AD120  ADMINISTRACION II
CA101  ADMINISTRACION II
RH104  ADMINISTRACION III (ADMINISTRACION DE RECURSOS HUMANOS)
RH105  ADMINISTRACION IV (HABILIDADES DIRECTIVAS)
AD121  ADMINISTRACION PARA LA TOMA DE DECISIONES
AD122  ADMINISTRACION PUBLICA
AD123  ADMINISTRACION PUBLICA COMPARADA
AD124  ADMINISTRACION SILVICOLA
IF147  ADMINISTRACION Y DISE~O DE REDES
RE127  AEROGRAFO
IT492  AEROPUERTOS
TR102  AGENCIA DE VIAJES
IN148  AGROINDUSTRIAS
IT352  AGUA POTABLE Y AL CANTARILLADO
TR167  ALEMAN I
TR168  ALEMAN II
TR169  ALEMAN III
TR170  ALEMAN IV
IF100  ALGEBRA
MT120  ALGEBRA LINEAL I
IF178  ALGORITMOS DE COMPRESION Y FORMATOS PARA GRAFICOS Y VIDEO
FN527  ALIANZAS ESTRATEGICAS
P0050  ALIANZAS ESTRATEGICAS
CT125  ALIANZAS, FRANQUICIAS E INTEGRADORA
NC106  ALTERACIONES NEURALES Y ACTIVIDAD PSIQUICA
IN152  ALUMBRADO
CJ537  AMBIENTE LEGAL DE LAS ORGANIZACIONES
RH128  AMBIENTE Y DESARROLLO
DP106  AMPARO
DS108  AMPARO AGRARIO
TH283  ANALISIS CINE
ID203  ANALISIS CONTABLE
DD502  ANALISIS CUALITATIVO
TH118  ANALISIS DE LA REALIDAD NACIONAL
P0053  ANALISIS DE MERCADOS FINANCIEROS
MA515  ANALISIS DE RIESGOS AMBIENTALES
MA503  ANALISIS DE SERIES DE TIEMPO
SI101  ANALISIS DE SISTEMAS
P0037  ANALISIS DEL ENTORNO ECONOMICO
FN508  ANALISIS DEL ENTORNO FINANCIERO
IT315  ANALISIS ESTRUCTURAL I
IT316  ANALISIS ESTRUCTURAL II
MT130  ANALISIS NUMERICO I
CJ150  ANALISIS SOCIOECONOMICO DE MEXICO
CC316  ANALISIS Y DISE~O DE ALGORITMOS
TR106  ANIMACION Y RECREACION
CS103  ANTROPOLOGIA AVANZADA
PB117  APLICACIONES DE LA ENTREVISTA PSICOLOGICA
PA120  APLICACIONES DE LA PSICOLOGIA SOCIAL
IF127  APRENDIZAJE DE PROYECTOS BASICOS
AEP02  APRENDIZAJE Y DIVERSIDAD
TR104  ARQUEOLOGIA
CC210  ARQUITECTURA DE COMPUTADORAS
IF110  ARQUITECTURA DE COMPUTADORAS
IN153  ARQUITECTURA DE COMPUTADORAS
CC409  ARQUITECTURA DE COMPUTADORAS AVANZADA
TH245  ARQUITECTURA DE GUADALAJARA
