I8847  ABORDAJE PSICOLOGICO DEL PROCESO ALIMENTARIO NUTRICIO
D1060  ACCIONES DE INCONSTITUCIONALIDAD Y CONTROVERSIAS CONSTITUCIONALES
AE114  ACTUACION COMPLEMENTARIA (CANTANTES Y BAILARINES)
I8638  ACTUALIDADES EN SALUD
CT122  ACTUALIZACION FISCAL PERMANENTE
I0930  ACUICULTURA
EC122  ACUICULTURA
ER140  ACUICULTURA
I0095  ACUICULTURA  I
I0096  ACUICULTURA II
I0111  ADMINISTRACION
AD100  ADMINISTRACION AGRICOLA
PS106  ADMINISTRACION AGROPECUARIA Y FORESTAL
AD101  ADMINISTRACION CONTEMPORANEA, FILOSOFIA Y PRACTICA
AD144  ADMINISTRACION DE CASINOS Y CASAS DE JUEGOS
SI100  ADMINISTRACION DE CENTROS DE COMPUTO
AD102  ADMINISTRACION DE CENTROS EDUCATIVOS
MN100  ADMINISTRACION DE COMERCIALIZADORAS INTERNACIONALES
TR100  ADMINISTRACION DE CONGRESOS, CONVENCIONES Y EXPOSICIONES
AD103  ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES
AD104  ADMINISTRACION DE EMPRESAS CONSTRUCTORAS
AD105  ADMINISTRACION DE EMPRESAS GANADERAS
PS109  ADMINISTRACION DE EMPRESAS PECUARIAS
PS110  ADMINISTRACION DE EXPLOTACIONES AGRICOLAS
PS111  ADMINISTRACION DE EXPLOTACIONES AVICOLAS
PS112  ADMINISTRACION DE EXPLOTACIONES DE BOVINOS
PS113  ADMINISTRACION DE EXPLOTACIONES DE LA FAUNA SILVESTRE
PS115  ADMINISTRACION DE EXPLOTACIONES PORCICOLAS
PF105  ADMINISTRACION DE FAUNA SILVESTRE
AD106  ADMINISTRACION DE GRANJAS AVICOLAS
AD107  ADMINISTRACION DE GRANJAS PORCINAS
AD108  ADMINISTRACION DE HOSPITALES
D1092  ADMINISTRACION DE JUSTICIA Y RESPONSABILIDAD INTERNACIONAL
D0034  ADMINISTRACION DE LA CAPACITACION Y DESARROLLO
MN101  ADMINISTRACION DE LA FUERZA DE VENTAS
D0027  ADMINISTRACION DE LA FUERZA DE VENTAS
D0036  ADMINISTRACION DE LA HIGIENE Y SEGURIDAD EN EL TRABAJO
D0006  ADMINISTRACION DE LA MERCADOTECNIA
AD109  ADMINISTRACION DE LA MICRO Y PEQUEÑA EMPRESA
RH140  ADMINISTRACION DE LA NEGOCIACION COLECTIVA
AD111  ADMINISTRACION DE LA PRODUCCION Y LA TECNOLOGIA
I5110  ADMINISTRACION DE LA PRODUCCION Y LA TECNOLOGIA
D0028  ADMINISTRACION DE LA PUBLICIDAD Y LA PROMOCION
RH141  ADMINISTRACION DE LA SEGURIDAD SOCIAL
RH100  ADMINISTRACION DE LAS COMPENSACIONES
AD112  ADMINISTRACION DE OPERACIONES
D0013  ADMINISTRACION DE OPERACIONES
AD113  ADMINISTRACION DE ORGANIZACIONES NO GUBERNAMENTALES
D0021  ADMINISTRACION DE PEQUEÑAS Y MEDIANAS EMPRESAS
I0931  ADMINISTRACION DE PESQUERIAS
ER144  ADMINISTRACION DE PESQUERIAS
F0433  ADMINISTRACION DE PESQUERIAS
CS138  ADMINISTRACION DE PROGRAMAS DE NUTRICION
D1412  ADMINISTRACION DE PROYECTOS
F0017  ADMINISTRACION DE PROYECTOS DE INGENIERIA AMBIENTAL
F0012  ADMINISTRACION DE PROYECTOS DE TELEINFORMATICA
I5111  ADMINISTRACION DE PYMES
CA114  ADMINISTRACION DE RECURSOS HUMANOS
H0681  ADMINISTRACION DE RECURSOS HUMANOS
PS116  ADMINISTRACION DE RECURSOS HUMANOS
RH102  ADMINISTRACION DE RECURSOS HUMANOS
D0005  ADMINISTRACION DE RECURSOS HUMANOS
I5091  ADMINISTRACION DE RECURSOS HUMANOS
CS141  ADMINISTRACION DE SERVICIOS DE ALIMENTOS
AD114  ADMINISTRACION DE SERVICIOS MUNICIPALES
AD115  ADMINISTRACION DE SOCIEDADES COOPERATIVAS
TR101  ADMINISTRACION DE TIEMPOS COMPARTIDOS
FN100  ADMINISTRACION DEL CAPITAL Y FUENTES DE FINANCIAMIENTO
AD116  ADMINISTRACION ESTATAL Y MUNICIPAL
AD117  ADMINISTRACION ESTRATEGICA
CA122  ADMINISTRACION ESTRATEGICA
D0014  ADMINISTRACION ESTRATEGICA
D1401  ADMINISTRACION ESTRATEGICA
I5139  ADMINISTRACION ESTRATEGICA
FN101  ADMINISTRACION FINANCIERA
D0010  ADMINISTRACION FINANCIERA
D0817  ADMINISTRACION FINANCIERA
D1398  ADMINISTRACION FINANCIERA
I5099  ADMINISTRACION FINANCIERA
PS114  ADMINISTRACION FORESTAL
CA195  ADMINISTRACION GENERAL
CA102  ADMINISTRACION GENERAL I
CA103  ADMINISTRACION GENERAL II
AD118  ADMINISTRACION HOTELERA
AD119  ADMINISTRACION I
CA100  ADMINISTRACION I
I0942  ADMINISTRACION I
I3592  ADMINISTRACION I
AD120  ADMINISTRACION II
CA101  ADMINISTRACION II
I3568  ADMINISTRACION II
I5082  ADMINISTRACION II
RH104  ADMINISTRACION III (ADMINISTRACION DE RECURSOS HUMANOS)
RH105  ADMINISTRACION IV (HABILIDADES DIRECTIVAS)
AD121  ADMINISTRACION PARA LA TOMA DE DECISIONES
I5112  ADMINISTRACION PARA LA TOMA DE DECISIONES
AD122  ADMINISTRACION PUBLICA
D1028  ADMINISTRACION PUBLICA
PS117  ADMINISTRACION PUBLICA AGROPECUARIA
AD123  ADMINISTRACION PUBLICA COMPARADA
D1068  ADMINISTRACION PUBLICA DEL AMBIENTE
I8293  ADMINISTRACION PUBLICA FEDERAL,ESTATAL Y MUNICIPAL
AD124  ADMINISTRACION SILVICOLA
D0015  ADMINISTRACION Y GERENCIA EN AGRONEGOCIOS
TR102  AGENCIA DE VIAJES
CT123  AGRICOLAS
I0871  AGRICULTURA ORGANICA
PG112  AGRICULTURA ORGANICA
I0872  AGROECOLOGIA
PL100  AGROECOLOGIA
PG113  AGROECOLOGIA
PG114  AGROECOSISTEMAS
I0920  AGROFORESTERIA
PF130  AGROFORESTERIA
IN148  AGROINDUSTRIAS
PL101  AGROMETEOROLOGIA Y CLIMATOLOGIA
CT124  AGROPECUARIAS
PG115  AGROPLASTICOS
PS118  AGROPROCESOS UNITARIOS
ER117  AGROSILVICULTURA
BZ154  AGROSTOLOGIA
TR167  ALEMAN I
TR168  ALEMAN II
TR169  ALEMAN III
TR170  ALEMAN IV
BC120  ALGEBRA LINEAL
H0579  ALGEBRA LINEAL
IN222  ALGEBRA Y GEOMETRIA
H0606  ALGORITMO Y ESTRUCTURAS DE DATOS
F0009  ALGORITMOS Y COMPLEJIDAD I
D0828  ALIANZAS ESTRATEGICAS
CT125  ALIANZAS, FRANQUICIAS E INTEGRADORA
CS142  ALIMENTACION INSTITUCIONAL
I8862  ALIMENTACION Y NUTRICION APLICADA A POBLACIONES
I8879  ALIMENTACION Y NUTRICION EN EL ADULTO MAYOR
I8829  ALIMENTACION Y SALUD PUBLICA
I8673  ALIMENTACION,NUTRICION Y SOCIEDAD
IN152  ALUMBRADO
RH128  AMBIENTE Y DESARROLLO
DP106  AMPARO
DS108  AMPARO AGRARIO
D1127  AMPARO EN MATERIA ADMINISTRATIVA
D1128  AMPARO EN MATERIA AGRARIA
D1126  AMPARO EN MATERIA CIVIL
D1125  AMPARO EN MATERIA PENAL
D1032  AMPARO I
D1033  AMPARO II
D1065  AMPARO LABORAL
H0607  AMPLIFICADORES DE ALTA POTENCIA
I0047  ANALISIS BIOESTADISTICO
BC127  ANALISIS CLINICOS
I5328  ANALISIS CONTABLE DE CONCEPTOS ESPECIFICOS
I5164  ANALISIS CONTABLE Y FINANCIERO
D0409  ANALISIS CUALITATIVO
H0609  ANALISIS DE ALGORITMOS Y COMPUTABILIDAD
H0572  ANALISIS DE FOURIER
F0414  ANALISIS DE PROGRAMAS DE GESTION INTEGRADA DE COSTAS Y OCEANOS
F0044  ANALISIS DE RIESGO AMBIENTAL
SI101  ANALISIS DE SISTEMAS
H0608  ANALISIS DE SISTEMAS Y SEÑALES
I5339  ANALISIS DEL CAPITAL CONTABLE
