J0010  ACTIVIDAD FISICA PARA LA SALUD I
J0011  ACTIVIDAD FISICA PARA LA SALUD II
I2347  ACTIVIDAD FISICA Y DESARROLLO DEPORTIVO
I4579  ACTUALIZACION DEL CAMPO DISCIPLINAR
I5684  ACTUALIZACION DEL CAMPO DISCIPLINAR
I9793  ACTUALIZACION DEL CAMPO DISCIPLINAR
F0069  ADMINISTRACION BASICA
A0026  ADMINISTRACION BIBLIOTECARIA
A0030  ADMINISTRACION DE LA BIBLIOTECA ACADEMICA
A0029  ADMINISTRACION DE LA BIBLIOTECA DIGITAL
A0031  ADMINISTRACION DE LA BIBLIOTECA PUBLICA
A0064  ADMINISTRACION DE LAS TECNOLOGIAS DE INFORMACION
I2370  ADMINISTRACION DE PROCESOS
A0068  ADMINISTRACION DE RECURSOS HUMANOS
F0083  ADMINISTRACION DE RECURSOS HUMANOS
A0041  ADMINISTRACION DE RECURSOS HUMANOS PARA BIBLIOTECAS
F0101  ADMINISTRACION DE SISTEMAS OPERATIVOS
D1320  ADMINISTRACION ESTRATEGICA
I8157  ADMINISTRACION FINANCIERA
I1716  ADMINISTRACION Y ORGANIZACION POLICIAL
I8135  AGENTES DE LA ORGANIZACION COOPERATIVA
I7792  AMBIENTES DE APRENDIZAJE PARA LA EDUCACION ARTISTICA
I1666  ANALISIS COMPARADO DE MODELOS DE SEGURIDAD CIUDADANA
I1665  ANALISIS COMPARADO DE MODELOS POLICIALES
D1295  ANALISIS COMPARATIVO DE LAS TEORIAS DE LAS ORGANIZACIONES
I8161  ANALISIS COMPARATIVO DE LOS MODELOS ECONOMICOS CONTEMPORANEOS
D1299  ANALISIS COMPARATIVO DE LOS SISTEMAS POLITICOS Y SOCIOECONOMICOS MUNDIALES
I7793  ANALISIS COYUNTURAL Y DEL ENTORNO
D0614  ANALISIS COYUNTURAL Y DEL ENTORNO
I4567  ANALISIS CURRICULAR
I5672  ANALISIS CURRICULAR
I8179  ANALISIS DE CONTEXTO VIRTUALES
I2368  ANALISIS DE DATOS
D0629  ANALISIS DE DATOS CUANTITATIVOS
A0080  ANALISIS DE FUENTES DE INFORMACION EN CIENCIA Y TECNOLOGIA
A0081  ANALISIS DE FUENTES DE INFORMACION EN CIENCIAS SOCIALES Y HUMANIDADES
F0087  ANALISIS DE INFORMACION
I7725  ANALISIS DE INFORMACION Y MINERIA DE DATOS PARA TOMA DE DESICIONES
D1319  ANALISIS DE LA COOPERACION PARA EL DESARROLLO SOCIOECONOMICO SUSTENTABLE
